Country Code,Country Name,Income Group,Indicator Code,Indicator Name,Region,Year,Energy Consump.
ABW,Aruba,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,0.268747069
AFG,Afghanistan,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,15.92453168
AGO,Angola,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,72.25525192
ALB,Albania,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,25.51808763
AND,Andorra,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,14.27355021
ARE,United Arab Emirates,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0
ARG,Argentina,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,8.922907467
ARM,Armenia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,2.118944341
ASM,American Samoa,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,0
ATG,Antigua and Barbuda,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,0
AUS,Australia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,8.009577159
AUT,Austria,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,25.13575415
AZE,Azerbaijan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0.722062718
BDI,Burundi,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,95.20067222
BEL,Belgium,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,1.269461495
BEN,Benin,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,93.70324086
BFA,Burkina Faso,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,93.15806029
BGD,Bangladesh,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,71.6649713
BGR,Bulgaria,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,1.916848509
BHR,Bahrain,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0
BHS,The Bahamas,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,0
BIH,Bosnia and Herzegovina,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,7.300098695
BLR,Belarus,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0.817357745
BLZ,Belize,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,38.0116327
BMU,Bermuda,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,01/01/1990,0
BOL,Bolivia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,37.35900159
BRA,Brazil,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,49.86467493
BRB,Barbados,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,18.94217652
BRN,Brunei Darussalam,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,0.671759471
BTN,Bhutan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,95.89885217
BWA,Botswana,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,47.58463784
CAF,Central African Republic,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,93.49428096
CAN,Canada,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,01/01/1990,22.02075369
CHE,Switzerland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,17.12391004
CHL,Chile,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,34.02687057
CHN,China,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,34.08361405
CIV,Cote d'Ivoire,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,73.58234924
CMR,Cameroon,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,81.59313508
COD,Congo Dem. Rep.,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,92.04773164
COG,Congo Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,65.41378681
